,from,open,close,min,max,volume
12562,1624452300,0.75818,0.75805,0.75793,0.75828,445
12563,1624452600,0.75805,0.75802,0.75791,0.75821,377
12564,1624452900,0.75802,0.75773,0.75767,0.75819,250
12565,1624453200,0.75773,0.75779,0.75769,0.75803,405
12566,1624453500,0.7578,0.75755,0.75755,0.75787,303
12567,1624453800,0.75755,0.75756,0.75741,0.75765,243
12568,1624454100,0.75756,0.75751,0.75748,0.75781,349
12569,1624454400,0.7575,0.75757,0.75738,0.75787,381
12570,1624454700,0.75755,0.75779,0.75753,0.75785,349
12571,1624455000,0.7578,0.75817,0.75778,0.75819,627
12572,1624455300,0.75817,0.75865,0.75796,0.75875,619
12573,1624455600,0.75865,0.75873,0.75836,0.75883,629
12574,1624455900,0.75873,0.75909,0.75873,0.75937,904
12575,1624456200,0.75909,0.75915,0.75903,0.75944,575
12576,1624456500,0.75917,0.75985,0.75915,0.75985,512
12577,1624456800,0.75985,0.75927,0.75923,0.7599,747
12578,1624457100,0.75926,0.75967,0.75921,0.75987,627
12579,1624457400,0.75968,0.75957,0.75932,0.75971,357
12580,1624457700,0.75957,0.75979,0.75954,0.75987,353
12581,1624458000,0.75978,0.75961,0.75961,0.75991,337
12582,1624458300,0.75962,0.75933,0.75917,0.75981,290
12583,1624458600,0.75934,0.75923,0.75907,0.75966,383
12584,1624458900,0.75923,0.75897,0.75887,0.75933,595
12585,1624459200,0.75896,0.75917,0.75896,0.75919,373
12586,1624459500,0.75917,0.75861,0.75858,0.75929,553
12587,1624459800,0.75861,0.75832,0.75828,0.75867,617
12588,1624460100,0.75832,0.75869,0.7582,0.75889,442
12589,1624460400,0.75871,0.75837,0.75837,0.75897,409
12590,1624460700,0.75837,0.75824,0.75823,0.75853,352
12591,1624461000,0.75823,0.75863,0.75823,0.75863,320
12592,1624461300,0.75863,0.75837,0.75834,0.75876,267
12593,1624461600,0.75837,0.75859,0.75832,0.75865,289
12594,1624461900,0.75859,0.75843,0.75839,0.75884,246
12595,1624462200,0.75843,0.75843,0.7584,0.75858,194
12596,1624462500,0.75843,0.75844,0.75831,0.75855,246
12597,1624462800,0.75844,0.75879,0.75843,0.75894,279
12598,1624463100,0.75882,0.75904,0.75878,0.75908,306
12599,1624463400,0.75904,0.75891,0.75888,0.75905,224
12600,1624463700,0.75891,0.75881,0.75876,0.75899,241
12601,1624464000,0.75883,0.75866,0.75851,0.75883,291
12602,1624464300,0.75866,0.75853,0.75851,0.75866,177
12603,1624464600,0.75853,0.75856,0.75851,0.75867,209
12604,1624464900,0.75855,0.75865,0.75847,0.75866,187
12605,1624465200,0.75866,0.75867,0.75853,0.75873,143
12606,1624465500,0.75867,0.75855,0.75849,0.75871,129
12607,1624465800,0.75856,0.75842,0.75832,0.75859,145
12608,1624466100,0.75841,0.75779,0.75757,0.75845,345
12609,1624466400,0.75779,0.75789,0.75755,0.75798,562
12610,1624466700,0.75791,0.75781,0.75769,0.75799,308
12611,1624467000,0.75782,0.75783,0.75772,0.75791,189
12612,1624467300,0.75782,0.75772,0.75759,0.75782,216
12613,1624467600,0.75773,0.75759,0.75751,0.75783,307
12614,1624467900,0.75759,0.75773,0.75737,0.75778,267
12615,1624468200,0.75773,0.75759,0.75747,0.75775,228
12616,1624468500,0.75759,0.75745,0.75743,0.75768,296
12617,1624468800,0.75745,0.75765,0.75743,0.75767,181
12618,1624469100,0.75767,0.75754,0.75747,0.75769,181
12619,1624469400,0.75755,0.75757,0.75747,0.75759,137
12620,1624469700,0.75758,0.75773,0.75758,0.75777,113
12621,1624470000,0.75773,0.75779,0.7577,0.75783,104
