,from,open,close,min,max,volume
46,1624297500,1.39313,1.39311,1.3931,1.39325,258
47,1624297800,1.39311,1.39299,1.39289,1.39311,115
48,1624298100,1.39299,1.39293,1.39293,1.39343,146
49,1624298400,1.39293,1.39291,1.39272,1.39294,86
50,1624298700,1.39291,1.39301,1.39285,1.39315,110
51,1624299000,1.39301,1.39311,1.39291,1.39312,88
52,1624299300,1.39308,1.39341,1.39304,1.39343,91
53,1624299600,1.39341,1.39313,1.39311,1.39345,148
54,1624299900,1.39313,1.39334,1.39313,1.39341,106
55,1624300200,1.39334,1.39333,1.393,1.3934,127
56,1624300500,1.39333,1.3932,1.39314,1.39337,161
57,1624300800,1.3932,1.3932,1.39315,1.39348,199
58,1624301100,1.3932,1.39299,1.39293,1.39321,86
59,1624301400,1.39299,1.39341,1.39299,1.39345,97
60,1624301700,1.3934,1.39285,1.39285,1.39349,211
61,1624302000,1.39285,1.39335,1.39285,1.39347,207
62,1624302300,1.39335,1.39351,1.39334,1.3936,128
63,1624302600,1.39351,1.3933,1.39329,1.39361,140
64,1624302900,1.3933,1.39356,1.39329,1.39371,161
65,1624303200,1.39356,1.39345,1.39325,1.39361,184
66,1624303500,1.39345,1.39346,1.39335,1.39351,117
67,1624303800,1.39347,1.39326,1.39324,1.39353,128
68,1624304100,1.39327,1.39323,1.39313,1.39327,77
69,1624304400,1.39323,1.39313,1.39313,1.39329,55
70,1624304700,1.39314,1.39313,1.39299,1.3932,96
71,1624305000,1.39313,1.39337,1.39308,1.39338,110
72,1624305300,1.39337,1.39321,1.39318,1.39337,181
73,1624305600,1.39319,1.39287,1.39279,1.39323,160
74,1624305900,1.39287,1.39295,1.39285,1.3931,141
75,1624306200,1.39295,1.39283,1.39281,1.39295,67
76,1624306500,1.39283,1.39288,1.39283,1.39295,32
77,1624306800,1.39288,1.39292,1.39284,1.39293,31
78,1624307100,1.39291,1.39283,1.39281,1.39292,27
79,1624307400,1.39283,1.39293,1.39275,1.39293,36
80,1624307700,1.39293,1.39313,1.39293,1.39313,22
81,1624308000,1.39313,1.39334,1.39313,1.39334,34
82,1624308300,1.39334,1.3935,1.39325,1.39353,138
83,1624308600,1.39349,1.39346,1.39343,1.39351,130
84,1624308900,1.39347,1.39338,1.39335,1.39353,92
85,1624309200,1.39338,1.39343,1.39321,1.39345,14
86,1624309500,1.39343,1.39349,1.39342,1.39381,35
87,1624309800,1.39349,1.39351,1.39346,1.39359,5
88,1624310100,1.39351,1.39355,1.39333,1.39355,54
89,1624310400,1.39355,1.39359,1.39355,1.39362,6
90,1624310700,1.39359,1.39359,1.39358,1.39364,6
91,1624311000,1.39357,1.39361,1.39352,1.39361,12
92,1624311300,1.39361,1.39359,1.39359,1.39364,8
93,1624311600,1.39359,1.39361,1.39354,1.39369,13
94,1624311900,1.39361,1.39364,1.39359,1.39364,8
95,1624312200,1.39364,1.39363,1.39355,1.39371,16
96,1624312500,1.39363,1.39371,1.39357,1.39373,28
97,1624312800,1.39369,1.39371,1.39355,1.39372,71
98,1624313100,1.39371,1.39353,1.39352,1.39371,14
99,1624313400,1.39353,1.39352,1.39349,1.39355,14
100,1624313700,1.39352,1.39337,1.39335,1.39352,40
101,1624314000,1.39337,1.39336,1.39336,1.39345,18
102,1624314300,1.39336,1.39329,1.39327,1.39336,24
103,1624314600,1.39329,1.39323,1.39318,1.39337,44
104,1624314900,1.39323,1.39298,1.39298,1.39328,90
105,1624315200,1.39297,1.39291,1.39283,1.39297,43
106,1624315500,1.39291,1.39298,1.39291,1.39311,61
107,1624315800,1.39298,1.39301,1.39295,1.39304,45
108,1624316100,1.39301,1.39301,1.393,1.39305,38
109,1624316400,1.39301,1.39289,1.39279,1.39303,138
110,1624316700,1.39289,1.39283,1.39281,1.39301,65
111,1624317000,1.39285,1.39272,1.39271,1.39285,35
112,1624317300,1.39272,1.39269,1.39269,1.39275,32
113,1624317600,1.39269,1.39263,1.39261,1.39275,47
114,1624317900,1.39263,1.39293,1.39262,1.39293,62
115,1624318200,1.39293,1.39283,1.39275,1.393,105
116,1624318500,1.39283,1.39315,1.39283,1.39319,52
117,1624318800,1.39315,1.39293,1.39293,1.39317,49
118,1624319100,1.39293,1.39255,1.39255,1.39293,43
119,1624319400,1.39255,1.39249,1.39249,1.39271,52
120,1624319700,1.39249,1.39243,1.39242,1.3925,21
121,1624320000,1.39243,1.39225,1.39214,1.39243,162
122,1624320300,1.39227,1.39211,1.39211,1.39256,115
123,1624320600,1.39211,1.39189,1.39186,1.3922,105
