,from,open,close,min,max,volume
124,1624320900,131.38,131.423,131.377,131.427,372
125,1624321200,131.421,131.378,131.377,131.427,582
126,1624321500,131.379,131.325,131.321,131.381,555
127,1624321800,131.325,131.347,131.321,131.347,425
128,1624322100,131.346,131.341,131.341,131.365,200
129,1624322400,131.341,131.334,131.313,131.341,392
130,1624322700,131.334,131.252,131.218,131.334,598
131,1624323000,131.253,131.279,131.253,131.297,655
132,1624323300,131.278,131.299,131.259,131.3,623
133,1624323600,131.299,131.248,131.241,131.309,746
134,1624323900,131.248,131.261,131.241,131.282,596
135,1624324200,131.261,131.266,131.259,131.287,555
136,1624324500,131.266,131.283,131.265,131.283,562
137,1624324800,131.282,131.255,131.241,131.287,652
138,1624325100,131.255,131.275,131.247,131.281,400
139,1624325400,131.275,131.241,131.237,131.275,669
140,1624325700,131.241,131.255,131.237,131.269,451
141,1624326000,131.255,131.271,131.239,131.271,636
142,1624326300,131.269,131.283,131.264,131.29,473
143,1624326600,131.282,131.262,131.258,131.289,481
144,1624326900,131.262,131.348,131.259,131.349,627
145,1624327200,131.347,131.357,131.345,131.369,711
146,1624327500,131.357,131.371,131.353,131.38,553
147,1624327800,131.371,131.336,131.323,131.374,632
148,1624328100,131.337,131.405,131.336,131.409,715
149,1624328400,131.405,131.441,131.399,131.441,899
150,1624328700,131.441,131.473,131.437,131.473,729
151,1624329000,131.473,131.487,131.439,131.494,940
152,1624329300,131.485,131.486,131.479,131.495,504
153,1624329600,131.487,131.479,131.465,131.491,419
154,1624329900,131.478,131.493,131.478,131.525,726
155,1624330200,131.492,131.465,131.465,131.509,525
156,1624330500,131.465,131.449,131.437,131.471,1066
157,1624330800,131.449,131.479,131.44,131.481,379
158,1624331100,131.479,131.471,131.459,131.487,308
159,1624331400,131.472,131.488,131.471,131.489,384
160,1624331700,131.489,131.505,131.479,131.507,549
161,1624332000,131.505,131.502,131.494,131.507,184
162,1624332300,131.501,131.544,131.501,131.557,403
163,1624332600,131.544,131.541,131.529,131.547,184
164,1624332900,131.541,131.554,131.537,131.557,132
165,1624333200,131.553,131.539,131.539,131.556,168
166,1624333500,131.539,131.543,131.535,131.556,226
167,1624333800,131.543,131.522,131.511,131.55,242
168,1624334100,131.522,131.527,131.507,131.537,233
169,1624334400,131.527,131.507,131.505,131.533,156
170,1624334700,131.507,131.497,131.493,131.508,163
171,1624335000,131.497,131.487,131.484,131.501,647
172,1624335300,131.487,131.501,131.477,131.501,414
173,1624335600,131.501,131.51,131.501,131.519,303
