,from,open,close,min,max,volume
173,1624335600,0.85587,0.85604,0.85585,0.85607,75
174,1624335900,0.85604,0.85603,0.85599,0.85605,40
175,1624336200,0.85604,0.85607,0.85598,0.85607,28
176,1624336500,0.85607,0.85597,0.85596,0.85607,44
177,1624336800,0.85597,0.85587,0.85585,0.85597,70
178,1624337100,0.85587,0.85587,0.85585,0.8559,71
179,1624337400,0.85587,0.85586,0.85585,0.8559,44
180,1624337700,0.85585,0.85565,0.85565,0.85587,174
181,1624338000,0.85566,0.85596,0.85566,0.85603,135
182,1624338300,0.85596,0.85594,0.85591,0.85601,34
183,1624338600,0.85594,0.85587,0.85587,0.85595,63
184,1624338900,0.85587,0.85583,0.85575,0.85587,79
185,1624339200,0.85583,0.85589,0.85577,0.85589,72
186,1624339500,0.85589,0.85598,0.85586,0.85598,57
187,1624339800,0.85597,0.85602,0.8559,0.85602,129
188,1624340100,0.85603,0.85594,0.85593,0.85607,88
189,1624340400,0.85594,0.85592,0.85586,0.85599,49
190,1624340700,0.85591,0.85581,0.85581,0.85598,75
191,1624341000,0.85582,0.85585,0.85575,0.85591,75
192,1624341300,0.85585,0.85587,0.85583,0.85614,201
193,1624341600,0.85589,0.85575,0.85537,0.85593,375
194,1624341900,0.85573,0.85551,0.85545,0.85576,257
195,1624342200,0.85551,0.85571,0.85551,0.85579,206
196,1624342500,0.85571,0.85571,0.85553,0.85585,209
197,1624342800,0.85571,0.85581,0.85566,0.85591,202
198,1624343100,0.85581,0.85581,0.85579,0.85593,182
199,1624343400,0.85582,0.85586,0.8556,0.8559,272
200,1624343700,0.85586,0.85595,0.85583,0.85618,265
201,1624344000,0.85597,0.85591,0.85585,0.85607,248
202,1624344300,0.85591,0.85615,0.85583,0.85625,229
203,1624344600,0.85615,0.85589,0.85567,0.85617,381
204,1624344900,0.85589,0.85593,0.85573,0.85601,324
205,1624345200,0.85591,0.85629,0.85588,0.85631,356
206,1624345500,0.85629,0.85675,0.85629,0.85677,414
207,1624345800,0.85674,0.85651,0.85651,0.85685,547
208,1624346100,0.85652,0.85663,0.85651,0.85679,355
209,1624346400,0.85665,0.85684,0.85663,0.85699,239
210,1624346700,0.85684,0.85695,0.85679,0.85701,274
211,1624347000,0.85695,0.8572,0.8569,0.85732,323
