,from,open,close,min,max,volume
142,1624326300,1.19071,1.19069,1.19065,1.19077,346
143,1624326600,1.19068,1.19034,1.19033,1.19068,259
144,1624326900,1.19034,1.19067,1.1903,1.19067,356
145,1624327200,1.19067,1.19062,1.19053,1.19076,398
146,1624327500,1.19063,1.19077,1.19055,1.19078,322
147,1624327800,1.19077,1.19032,1.19025,1.19077,313
148,1624328100,1.19032,1.19039,1.19026,1.19041,296
149,1624328400,1.19039,1.19057,1.19031,1.19059,257
150,1624328700,1.19057,1.19059,1.19052,1.19067,258
151,1624329000,1.19059,1.19061,1.19057,1.19081,385
152,1624329300,1.19061,1.19073,1.19059,1.19075,230
153,1624329600,1.19073,1.19065,1.19061,1.19083,194
154,1624329900,1.19065,1.19058,1.19047,1.19066,252
155,1624330200,1.19058,1.19073,1.19047,1.19077,205
156,1624330500,1.19073,1.19107,1.19069,1.19108,456
157,1624330800,1.19107,1.19097,1.19087,1.19108,242
158,1624331100,1.19097,1.19089,1.19085,1.19102,90
159,1624331400,1.19089,1.19105,1.19087,1.19113,261
160,1624331700,1.19105,1.19127,1.19105,1.19128,385
161,1624332000,1.19128,1.19123,1.19115,1.19132,188
162,1624332300,1.19123,1.19148,1.19123,1.19151,295
163,1624332600,1.19149,1.19123,1.19122,1.19149,107
164,1624332900,1.19123,1.19131,1.19118,1.19135,174
165,1624333200,1.19131,1.19119,1.19112,1.19131,177
166,1624333500,1.19119,1.1911,1.19103,1.19122,227
167,1624333800,1.1911,1.19122,1.1911,1.19125,170
168,1624334100,1.19122,1.19117,1.19117,1.19129,205
169,1624334400,1.19117,1.19119,1.19115,1.19123,101
170,1624334700,1.19119,1.19101,1.191,1.19119,87
171,1624335000,1.19101,1.19099,1.19097,1.19104,109
172,1624335300,1.19099,1.19107,1.19098,1.19108,126
173,1624335600,1.19107,1.19103,1.19103,1.19111,86
174,1624335900,1.19103,1.19091,1.19088,1.19107,124
175,1624336200,1.19093,1.19093,1.19088,1.19097,38
176,1624336500,1.19092,1.19079,1.19079,1.19093,85
177,1624336800,1.19078,1.19068,1.19063,1.1908,135
178,1624337100,1.19068,1.19067,1.19063,1.19074,66
179,1624337400,1.19067,1.19063,1.19063,1.19071,56
180,1624337700,1.19063,1.19028,1.19025,1.19063,114
181,1624338000,1.19027,1.19052,1.19027,1.19053,169
182,1624338300,1.19052,1.19037,1.19032,1.19053,141
183,1624338600,1.19037,1.19017,1.19017,1.19037,120
184,1624338900,1.19017,1.18989,1.18989,1.19017,275
185,1624339200,1.18989,1.18982,1.18981,1.18995,181
186,1624339500,1.18982,1.18977,1.18973,1.18985,141
187,1624339800,1.18977,1.18981,1.18957,1.18981,357
188,1624340100,1.18983,1.18989,1.18983,1.19013,294
189,1624340400,1.18989,1.19017,1.18987,1.19019,142
190,1624340700,1.19017,1.18987,1.18987,1.19025,247
191,1624341000,1.18987,1.18978,1.18978,1.19002,191
192,1624341300,1.18978,1.18919,1.18919,1.18978,496
193,1624341600,1.18919,1.1895,1.18917,1.18977,701
194,1624341900,1.1895,1.18937,1.18927,1.18956,475
195,1624342200,1.18937,1.18942,1.18917,1.18955,660
196,1624342500,1.18942,1.18963,1.18926,1.18977,665
197,1624342800,1.18963,1.18959,1.18949,1.18979,411
198,1624343100,1.18959,1.18959,1.18952,1.18993,370
199,1624343400,1.18959,1.18979,1.18955,1.19003,497
